reviewer_name,review_time_diff,review_rating
capable,"< 10 days",bad
Forevame7189,"> 50 days",good
squidx,"< 10 days",bad
dascud,"< 10 days",good
shawncl,"< 10 days",good
gamecalls,"< 10 days",bad
toddw,"11 to 50 days",good
flgator1613,"> 50 days",good
"old surfer","> 50 days",good
sushi-x,"> 50 days",bad
baskets1970,"< 10 days",good
tcsenter,"> 50 days",bad
optimistic,"> 50 days",good
hurtone,"< 10 days",bad
atlkep1,"> 50 days",bad
faisonb,"< 10 days",bad
billsfan,"< 10 days",bad
dawaynew,"< 10 days",bad
philipx99,"11 to 50 days",bad
flipper812002,"> 50 days",bad
medicprn,"< 10 days",bad
jackyman242,"< 10 days",good
troytash,"< 10 days",bad
rnvanya,"> 50 days",good
dwu182,"> 50 days",good
JennKeith2,"< 10 days",bad
"ricky 777","< 10 days",bad
cwat212,"< 10 days",good
m3rdpwr,"> 50 days",good
Inkfarm,"> 50 days",NULL
geo442,"> 50 days",bad
punkass7,"< 10 days",good
Nightmusk,"< 10 days",good
aerochick,"> 50 days",bad
snoop_1,"< 10 days",good
d_levy,"> 50 days",bad
patrickr,"< 10 days",good
grd003,"< 10 days",good
schnee69,"< 10 days",bad
davymills,"11 to 50 days",bad
hhcoyote,"< 10 days",NULL
dargall,"< 10 days",good
d0nbennett,"< 10 days",good
enix65784,"< 10 days",good
mtplsntpm58,"< 10 days",good
rbren,"< 10 days",good
Bowling250,"< 10 days",good
dthode,"< 10 days",good
merlan,"< 10 days",good
vph,"< 10 days",good
eptwa,"< 10 days",good
sudipto,"> 50 days",good
prona,"> 50 days",good
londonflu,"> 50 days",good
rlrlcompelect,"< 10 days",good
gadgetkid,"< 10 days",bad
hsumh,"< 10 days",NULL
mikekos,"< 10 days",good
nemesio,"> 50 days",good
b3b0p,"< 10 days",good
bigbill,"> 50 days",good
rtokars,"< 10 days",good
DavidY,"> 50 days",good
BDRDJR,"< 10 days",good
arctan,"> 50 days",good
Stude,"< 10 days",good
glass_man,"> 50 days",good
carbonehead,"< 10 days",NULL
gtortuga,"< 10 days",bad
LightInfo,"< 10 days",good
Foxtrot62,"< 10 days",good
kclugston,"> 50 days",good
AKperson1,"< 10 days",good
diablo21st,"< 10 days",good
Everton,"< 10 days",good
Stratfanatic,"< 10 days",good
ECWSandman,"< 10 days",good
aerofx,"< 10 days",good
RJohn,"< 10 days",good
pappabear-,"> 50 days",good
Starr2McGee,"< 10 days",good
borgunit6,"> 50 days",good
justinbrewer,"< 10 days",good
tgioiosa,"< 10 days",good
danielrparsons,"> 50 days",good
Saboo,"< 10 days",good
patina98,"< 10 days",good
nobles270,"< 10 days",good
curt9d,"< 10 days",good
21farms,"< 10 days",good
alwebster,"< 10 days",good
norby007,"< 10 days",good
bnayflish,"< 10 days",good
Deeptrance116,"> 50 days",good
"grey ghost1","> 50 days",good
GameManK,"< 10 days",good
biikman,"< 10 days",bad
patwood,"> 50 days",good
TandSliars,"< 10 days",bad
boogulooshrimp,"< 10 days",bad
kclendaniel,"< 10 days",bad
psitech,"> 50 days",good
tmorriso,"> 50 days",good
kampboyd,"< 10 days",bad
brad2004,"< 10 days",good
bhlaws,"< 10 days",good
tomj2812,"> 50 days",bad
parma182,"< 10 days",good
pierog,"< 10 days",bad
Backslider,"> 50 days",good
lkrebs9916,"< 10 days",good
gasser,"11 to 50 days",good
mabramo,"< 10 days",bad
methodermis,"< 10 days",good
m3cubed,"> 50 days",good
cjkjc,"< 10 days",good
AndyRMD,"< 10 days",good
uvodichm,"< 10 days",good
Halo_4am,"< 10 days",good
Ajacks2k,"< 10 days",bad
MrClark,"< 10 days",good
FlatEarth,"< 10 days",good
gparma,"< 10 days",good
pdaray,"< 10 days",good
BubbaGee,"< 10 days",good
Remo3,"< 10 days",good
skp,"< 10 days",good
doo119,"11 to 50 days",good
brybarnes,"< 10 days",good
biggeek,"> 50 days",good
party54321,"< 10 days",good
howcome,"> 50 days",good
mamcc2001,"< 10 days",good
thundermustard,"< 10 days",good
happy_happa,"< 10 days",good
Crimson_X,"< 10 days",good
ssgmoeb,"> 50 days",good
lordironfist,"< 10 days",bad
joanne135,"< 10 days",good
